"";"finessGeoDP";"annee";"vda";"baria_t";"redo";"n";"TOT";"PCT"
"141";"020000394";2024;"COE";"SLE";0;35;40;87,5
"142";"020000394";2024;"COE";"SLE";1;5;40;12,5
"143";"020000394";2024;"LAP";"BPG";1;3;3;100
"144";"020000394";2024;"LAP";"REV";1;4;4;100
"145";"020000394";2024;"LAP";"SLE";1;2;2;100
"146";"020000519";2020;"COE";"REV";1;1;1;100
"147";"020000519";2020;"COE";"SLE";0;14;16;87,5
"148";"020000519";2020;"COE";"SLE";1;2;16;12,5
"149";"020000519";2020;"LAP";"REV";1;1;1;100
"150";"020000519";2021;"COE";"ABL";1;2;2;100
"151";"020000519";2021;"COE";"BPG";1;2;2;100
"152";"020000519";2021;"COE";"SLE";0;19;19;100
"153";"020000519";2022;"COE";"ABL";1;1;1;100
"154";"020000519";2022;"COE";"BPG";0;4;7;57,1
"155";"020000519";2022;"COE";"BPG";1;3;7;42,9
"156";"020000519";2022;"COE";"REV";1;1;1;100
"157";"020000519";2022;"COE";"SLE";0;44;48;91,7
"158";"020000519";2022;"COE";"SLE";1;4;48;8,3
"159";"020000519";2022;"LAP";"REV";1;1;1;100
"160";"020000519";2023;"COE";"ABL";1;1;1;100
"161";"020000519";2023;"COE";"BPG";0;4;5;80
"162";"020000519";2023;"COE";"BPG";1;1;5;20
"163";"020000519";2023;"COE";"SLE";0;46;48;95,8
"164";"020000519";2023;"COE";"SLE";1;2;48;4,2
"165";"020000519";2023;"LAP";"ABL";1;1;1;100
"166";"020000519";2024;"COE";"ABL";1;4;4;100
"167";"020000519";2024;"COE";"BPG";0;1;6;16,7
"168";"020000519";2024;"COE";"BPG";1;5;6;83,3
"169";"020000519";2024;"COE";"REV";1;1;1;100
"170";"020000519";2024;"COE";"SLE";0;56;60;93,3
"171";"020000519";2024;"COE";"SLE";1;4;60;6,7
"172";"020010047";2020;"COE";"ABL";1;1;1;100
"173";"020010047";2020;"COE";"ANN";0;5;5;100
"174";"020010047";2020;"COE";"BPG";0;8;14;57,1
"175";"020010047";2020;"COE";"BPG";1;6;14;42,9
"176";"020010047";2020;"COE";"REV";1;1;1;100
"177";"020010047";2020;"COE";"SLE";0;49;49;100
"178";"020010047";2020;"LAP";"REV";1;1;1;100
"179";"020010047";2021;"COE";"ABL";1;6;6;100
"180";"020010047";2021;"COE";"ANN";0;3;3;100
"181";"020010047";2021;"COE";"BPG";0;14;22;63,6
"182";"020010047";2021;"COE";"BPG";1;8;22;36,4
"183";"020010047";2021;"COE";"SLE";0;56;56;100
"184";"020010047";2022;"COE";"ABL";1;2;2;100
"185";"020010047";2022;"COE";"ANN";0;1;1;100
"186";"020010047";2022;"COE";"BPG";0;8;14;57,1
"187";"020010047";2022;"COE";"BPG";1;6;14;42,9
