"GEO";"GEO_OBJECT";"SEX";"AGE";"EP_MEASURE";"OBS_STATUS_FR";TIME_PERIOD;OBS_VALUE
"88";"DEP";"_T";"_T";"POP";"PROV";2023;356433
"21";"DEP";"_T";"_T";"POP";"PROV";2023;538080
"92";"DEP";"_T";"_T";"POP";"PROV";2023;1653212
"09";"DEP";"_T";"_T";"POP";"PROV";2023;155760
"41";"DEP";"_T";"_T";"POP";"PROV";2023;328360
"05";"DEP";"_T";"_T";"POP";"PROV";2023;141826
"87";"DEP";"_T";"_T";"POP";"PROV";2023;372083
"72";"DEP";"_T";"_T";"POP";"PROV";2023;565349
"86";"DEP";"_T";"_T";"POP";"PROV";2023;438142
"27";"DEP";"_T";"_T";"POP";"PROV";2023;601533
"70";"DEP";"_T";"_T";"POP";"PROV";2023;233293
"30";"DEP";"_T";"_T";"POP";"PROV";2023;768166
"83";"DEP";"_T";"_T";"POP";"PROV";2023;1117572
"69";"DEP";"_T";"_T";"POP";"PROV";2023;1916464
"39";"DEP";"_T";"_T";"POP";"PROV";2023;257986
"57";"DEP";"_T";"_T";"POP";"PROV";2023;1050692
"26";"DEP";"_T";"_T";"POP";"PROV";2023;522454
"34";"DEP";"_T";"_T";"POP";"PROV";2023;1229560
"73";"DEP";"_T";"_T";"POP";"PROV";2023;447997
"01";"DEP";"_T";"_T";"POP";"PROV";2023;677187
"18";"DEP";"_T";"_T";"POP";"PROV";2023;298404
"43";"DEP";"_T";"_T";"POP";"PROV";2023;228034
"23";"DEP";"_T";"_T";"POP";"PROV";2023;114940
"25";"DEP";"_T";"_T";"POP";"PROV";2023;549462
"19";"DEP";"_T";"_T";"POP";"PROV";2023;239911
"28";"DEP";"_T";"_T";"POP";"PROV";2023;433132
"47";"DEP";"_T";"_T";"POP";"PROV";2023;332080
"78";"DEP";"_T";"_T";"POP";"PROV";2023;1477228
"36";"DEP";"_T";"_T";"POP";"PROV";2023;215578
"49";"DEP";"_T";"_T";"POP";"PROV";2023;830394
"45";"DEP";"_T";"_T";"POP";"PROV";2023;688539
"79";"DEP";"_T";"_T";"POP";"PROV";2023;375016
"50";"DEP";"_T";"_T";"POP";"PROV";2023;496441
"33";"DEP";"_T";"_T";"POP";"PROV";2023;1689714
"89";"DEP";"_T";"_T";"POP";"PROV";2023;332690
"972";"DEP";"_T";"_T";"POP";"PROV";2023;359202
"82";"DEP";"_T";"_T";"POP";"PROV";2023;265956
"64";"DEP";"_T";"_T";"POP";"PROV";2023;704074
"40";"DEP";"_T";"_T";"POP";"PROV";2023;432717
"44";"DEP";"_T";"_T";"POP";"PROV";2023;1486149
"46";"DEP";"_T";"_T";"POP";"PROV";2023;175858
"94";"DEP";"_T";"_T";"POP";"PROV";2023;1422186
"56";"DEP";"_T";"_T";"POP";"PROV";2023;780633
"71";"DEP";"_T";"_T";"POP";"PROV";2023;547788
"37";"DEP";"_T";"_T";"POP";"PROV";2023;617703
"81";"DEP";"_T";"_T";"POP";"PROV";2023;397775
"60";"DEP";"_T";"_T";"POP";"PROV";2023;830509
"24";"DEP";"_T";"_T";"POP";"PROV";2023;416671
"52";"DEP";"_T";"_T";"POP";"PROV";2023;168854
"22";"DEP";"_T";"_T";"POP";"PROV";2023;611258
"02";"DEP";"_T";"_T";"POP";"PROV";2023;523228
"06";"DEP";"_T";"_T";"POP";"PROV";2023;1119807
"85";"DEP";"_T";"_T";"POP";"PROV";2023;711902
"68";"DEP";"_T";"_T";"POP";"PROV";2023;767160
"58";"DEP";"_T";"_T";"POP";"PROV";2023;201409
