codeInsee;codePostal;longitude;latitude;nomCommune
23067;23100;45,73015058;2,243828284;LA COURTINE
23068;23140;46,13453723;2,092950805;CRESSAT
23069;23260;45,85022092;2,364774283;CROCQ
23070;23160;46,38228605;1,612706591;CROZANT
23071;23500;45,82440622;2,167808788;CROZE
23072;23140;46,2491823;2,147210706;DOMEYROT
23073;23700;45,97883934;2,546858633;DONTREIX
23074;23480;46,03538708;1,985329393;LE DONZEIL
23075;23800;46,30328216;1,662183;DUN-LE-PALESTEL
23076;23110;46,16892591;2,4993311;EVAUX-LES-BAINS
23077;23340;45,74295646;1,935009422;FAUX-LA-MONTAGNE
23078;23400;45,92241799;1,77972681;FAUX-MAZURAS
23079;23500;45,88952098;2,182711247;FELLETIN
23080;23100;45,74405626;2,126151757;FENIERS
23081;23260;45,77858686;2,386199153;FLAYAT
23082;23320;46,23243885;1,683036853;FLEURAT
23083;23110;46,10714055;2,519265779;FONTANIERES
23084;23360;46,42712207;1,906023625;LA FORET-DU-TEMPLE
23086;23480;46,02855078;2,03995507;FRANSECHES
23087;23450;46,37783736;1,698973162;FRESSELINES
23088;23320;46,15236095;1,725975847;GARTEMPE
23089;23350;46,34465746;1,993484453;GENOUILLAC
23090;23340;45,78467645;2,008521072;GENTIOUX-PIGEROLLES
23091;23500;45,80124317;2,114432579;GIOUX
23092;23380;46,22970696;1,941207966;GLENIC
23093;23230;46,18722307;2,230783892;GOUZON
23095;23240;46,1597264;1,655084319;LE GRAND-BOURG
23096;23000;46,16321214;1,870786727;GUERET
23097;23130;46,06604436;2,164140456;ISSOUDUN-LETRIEIX
23098;23270;46,29529829;2,082362088;JALESCHES
23099;23250;46,04806584;1,774628773;JANAILLAT
23100;23140;46,19015561;2,080396954;JARNAGES
23101;23220;46,26817506;1,937800518;JOUILLAT
23102;23270;46,24872753;2,050058817;LADAPEYRE
23103;23800;46,33836315;1,60583577;LAFAT
23104;23600;46,30543066;2,271993996;LAVAUFRANCHE
23105;23150;46,07436346;2,093582711;LAVAVEIX-LES-MINES
23106;23170;46,23134475;2,384241615;LEPAUD
23107;23150;46,05866194;1,936932339;LEPINAS
23108;23600;46,35839975;2,293752891;LEYRAT
23109;23220;46,36666918;1,876477412;LINARD
23110;23700;45,94064556;2,444687676;LIOUX-LES-MONGES
23111;23240;46,20873901;1,572387969;LIZIERES
23112;23360;46,39974806;1,828424489;LOURDOUEIX-SAINT-PIERRE
23113;23190;45,98998354;2,358238525;LUPERSAT
23114;23170;46,18607119;2,331603674;LUSSAT
23115;23260;45,79503202;2,268826196;MAGNAT-L'ETRANGE
23116;23700;46,04765836;2,386349303;MAINSAT
23117;23800;46,34726894;1,670212705;MAISON-FEYNE
23118;23150;46,06082634;1,903098049;MAISONNISSES
23119;23260;45,76239764;2,322695673;MALLERET
23120;23600;46,34161709;2,150845525;MALLERET-BOUSSAC
23121;23220;46,35695508;1,898056535;MALVAL
23122;23400;45,96524904;1,795705216;MANSAT-LA-COURRIERE
23123;23700;45,99541231;2,491522;LES MARS
23124;23210;46,10018368;1,58421912;MARSAC
23125;23100;45,73438976;2,186321018;LE MAS-D'ARTIGE
23126;23400;45,97605195;1,720406044;MASBARAUD-MERIGNAT
23127;23190;45,9361974;2,385233422;MAUTES
23128;23150;46,13810784;1,987355152;MAZEIRAT
23129;23260;45,88970272;2,443648294;LA MAZIERE-AUX-BONS-HOMMES
23130;23360;46,42309507;1,779963317;MEASNES
23131;23420;45,90840574;2,494216736;MERINCHAL
23132;23320;46,11845089;1,732772553;MONTAIGUT-LE-BLANC
23133;23400;45,94785957;1,680342879;MONTBOUCHER
23134;23460;45,9095469;1,944889038;LE MONTEIL-AU-VICOMTE
23136;23220;46,39561987;1,907487297;MORTROUX
23137;23210;46,07941687;1,637962621;MOURIOUX-VIEILLEVILLE
23138;23150;46,09975861;2,063019096;MOUTIER-D'AHUN
23139;23220;46,38353053;1,950430162;MOUTIER-MALCARD
23140;23200;45,91831178;2,198385751;MOUTIER-ROZEILLE
23141;23800;46,25858668;1,650076609;NAILLAT
23142;23200;45,91575899;2,26372873;NEOUX
23143;23300;46,24222864;1,582645174;NOTH
23144;23500;45,83938122;2,069909459;LA NOUAILLE
23145;23170;46,28707433;2,392093942;NOUHANT
23146;23600;46,38918328;2,110866714;NOUZERINES
23147;23360;46,38337917;1,740402462;NOUZEROLLES
23148;23350;46,42362207;1,961581836;NOUZIERS
23149;23140;46,19738154;2,139749652;PARSAC
23150;23000;46,10074828;1,916477366;PEYRABOUT
23151;23130;46,08027251;2,252275842;PEYRAT-LA-NONIERE
23152;23130;46,15208675;2,232786294;PIERREFITTE
23154;23140;46,17003875;2,026539413;PIONNAT
23155;23250;45,99570825;1,846114822;PONTARION
23156;23260;45,86149656;2,274621613;PONTCHARRAUD
23157;23250;45,97374433;1,940197303;LA POUGE
23158;23500;45,81651247;2,221409491;POUSSANGES
23159;23130;46,03565849;2,214304128;PUY-MALSIGNAT
23160;23110;46,10656313;2,467585268;RETERRE
23161;23140;46,23178124;2,115480959;RIMONDEIX
23162;23270;46,28100031;1,990501709;ROCHES
23164;23700;46,05780191;2,496176866;ROUGNAT
23165;23460;45,83753558;1,901673876;ROYERE-DE-VASSIVIERE
23166;23800;46,31308317;1,624416298;SAGNAT
23167;23110;46,12298563;2,415399629;SANNAT
23168;23250;46,04598959;1,858867655;SARDENT
23169;23000;46,12852304;1,941337928;LA SAUNIERE
23170;23000;46,1090526;1,886113505;SAVENNES
23171;23700;45,96959121;2,415441708;SERMUR
