"finessGeoDP","baria_t","n","pct"
"800006124","SLE",501,89.6
"800009466","BPG",6,4.4
"800009466","SLE",131,95.6
"800009920","BPG",9,2
"800009920","SLE",446,98
"810101170","ANN",2,0.4
"810101170","BPG",82,16.9
"810101170","SLE",400,82.6
"810101444","BPG",43,11
"810101444","SLE",347,89
"820000040","ANN",1,0.5
"820000040","BPG",7,3.6
"820000040","SLE",185,95.9
"830000311","BPG",1,0.5
"830000311","SLE",212,99.5
"830000345","BPG",139,33.2
"830000345","DBP",4,1
"830000345","SLE",276,65.9
"830100251","BPG",14,3.1
"830100251","DBP",1,0.2
"830100251","SLE",436,96.7
"830100434","BPG",84,17.6
"830100434","SLE",392,82.4
"830100459","ANN",19,1.4
"830100459","BPG",178,13.2
"830100459","SLE",1155,85.4
"840000400","ANN",6,0.8
"840000400","BPG",88,11.8
"840000400","SLE",654,87.4
"840000418","ANN",4,2.4
"840000418","BPG",32,18.8
"840000418","SLE",134,78.8
"840000467","ANN",1,0.3
"840000467","BPG",67,18.6
"840000467","SLE",293,81.2
"850000118","BPG",125,83.9
"850000118","SLE",24,16.1
"850000142","ANN",4,1.4
"850000142","BPG",150,52.6
"850000142","SLE",131,46
"860000223","BPG",494,55.2
"860000223","DBP",9,1
"860000223","SLE",392,43.8
"860010321","ANN",1,0.8
"860010321","BPG",9,6.8
"860010321","DBP",1,0.8
"860010321","SLE",122,91.7
"870000064","BPG",123,56.7
"870000064","DBP",1,0.5
"870000064","SLE",93,42.9
"870000288","ANN",3,0.3
"870000288","BPG",402,38.9
"870000288","SLE",629,60.8
"890000169","ANN",10,1.2
"890000169","BPG",179,21.9
"890000169","SLE",628,76.9
"890975550","BPG",111,15.3
"890975550","SLE",615,84.7
"900000035","BPG",28,23.9
"900000035","SLE",89,76.1
"900003039","ANN",3,0.6
"900003039","BPG",232,42.6
"900003039","DBP",2,0.4
"900003039","SLE",308,56.5
"910000306","BPG",22,19
"910000306","SLE",94,81
"910020254","BPG",127,55.9
"910020254","SLE",100,44.1
"910300011","ANN",1,0.6
"910300011","SLE",164,99.4
"910300144","BPG",310,43.7
"910300144","DBP",2,0.3
"910300144","SLE",398,56.1
"910300177","ANN",44,4.8
"910300177","BPG",100,11
"910300177","DBP",1,0.1
"910300177","SLE",765,84.1
"910300300","BPG",17,8.3
"910300300","SLE",188,91.7
"910803543","BPG",457,61.5
"910803543","DBP",3,0.4
"910803543","SLE",283,38.1
"920000643","BPG",44,21.9
"920000643","SLE",157,78.1
"920000650","BPG",48,27
"920000650","SLE",130,73
"920029550","ANN",7,1.4
"920029550","BPG",56,11.5
"920029550","DBP",2,0.4
"920029550","SLE",423,86.7
"920100013","BPG",237,63.9
"920100013","SLE",134,36.1
"920100021","BPG",339,22.5
"920100021","SLE",1167,77.5
"920100047","BPG",99,37.1
"920100047","SLE",168,62.9
"920300753","ANN",1,0.5
"920300753","BPG",17,8.3
"920300753","DBP",2,1
"920300753","SLE",186,90.3
"930000286","BPG",51,20
"930000286","SLE",204,80
"930000328","ANN",6,1.2
"930000328","BPG",37,7.4
"930000328","SLE",460,91.5
"930100037","BPG",136,24.7
"930100037","DBP",2,0.4
"930100037","SLE",413,75
"930300025","ANN",4,0.7
"930300025","BPG",31,5.4
"930300025","SLE",540,93.9
"930300082","ANN",1,0.4
"930300082","BPG",29,12.3
"930300082","SLE",206,87.3
"930300116","ANN",16,4.1
"930300116","BPG",114,29
"930300116","SLE",263,66.9
"930300298","ANN",3,1.5
"930300298","BPG",5,2.5
"930300298","SLE",196,96.1
"930300553","ANN",6,1.3
"930300553","BPG",55,11.6
"930300553","SLE",415,87.2
"930300587","BPG",3,1.7
"930300587","SLE",174,98.3
"930300595","ANN",11,2.2
"930300595","BPG",89,18.2
"930300595","SLE",389,79.6
"940000573","BPG",427,50.5
"940000573","DBP",17,2
"940000573","SLE",401,47.5
"940006679","ANN",2,0.3
"940006679","BPG",60,9.1
"940006679","SLE",595,90.6
"940300494","ANN",1,0.3
"940300494","BPG",62,18.2
"940300494","SLE",278,81.5
"940813033","ANN",27,3.3
"940813033","BPG",189,22.8
"940813033","SLE",613,73.9
"950000307","BPG",23,12.2
"950000307","SLE",165,87.8
"950000323","BPG",31,13
"950000323","SLE",208,87
"950000331","ANN",1,0.3
"950000331","BPG",25,8.6
"950000331","SLE",264,91
"950000364","BPG",133,27.7
"950000364","DBP",10,2.1
"950000364","SLE",337,70.2
"950300202","BPG",23,6.8
"950300202","DBP",1,0.3
"950300202","SLE",312,92.9
"950300244","ANN",26,3.2
"950300244","BPG",170,21.2
"950300244","SLE",606,75.6
"950300277","BPG",51,19.9
"950300277","SLE",205,80.1
"950807982","ANN",17,2.2
"950807982","BPG",147,18.9
"950807982","DBP",1,0.1
"950807982","SLE",614,78.8
"970100392","BPG",47,34.8
"970100392","DBP",1,0.7
"970100392","SLE",87,64.4
"970107249","BPG",2,0.3
"970107249","SLE",792,99.7
"970202313","ANN",16,4.3
"970202313","BPG",71,18.9
"970202313","DBP",1,0.3
"970202313","SLE",288,76.6
"970400024","BPG",95,23.3
"970400024","SLE",313,76.7
"970400057","BPG",7,15.6
"970400057","SLE",38,84.4
"970400065","BPG",114,58.2
"970400065","DBP",17,8.7
"970400065","SLE",65,33.2
"970462081","BPG",50,7.4
"970462081","SLE",626,92.6
"970462107","BPG",18,3
"970462107","SLE",582,97
