"finessGeoDP","annee","mois","n"
"100010818",2023,11,11
"100010818",2023,12,7
"100010818",2024,1,11
"100010818",2024,2,6
"100010818",2024,3,4
"100010818",2024,4,10
"100010818",2024,5,10
"100010818",2024,6,12
"100010818",2024,7,8
"100010818",2024,8,3
"100010818",2024,9,11
"100010818",2024,10,8
"100010818",2024,11,8
"110000023",2021,1,19
"110000023",2021,2,10
"110000023",2021,3,8
"110000023",2021,4,6
"110000023",2021,5,10
"110000023",2021,6,10
"110000023",2021,7,7
"110000023",2021,8,3
"110000023",2021,9,6
"110000023",2021,10,11
"110000023",2021,11,8
"110000023",2021,12,5
"110000023",2022,1,8
"110000023",2022,2,10
"110000023",2022,3,17
"110000023",2022,4,5
"110000023",2022,5,13
"110000023",2022,6,6
"110000023",2022,7,7
"110000023",2022,8,5
"110000023",2022,9,12
"110000023",2022,10,4
"110000023",2022,11,11
"110000023",2022,12,5
"110000023",2023,1,15
"110000023",2023,2,12
"110000023",2023,3,11
"110000023",2023,4,9
"110000023",2023,5,11
"110000023",2023,6,9
"110000023",2023,7,9
"110000023",2023,8,4
"110000023",2023,9,3
"110000023",2023,10,10
"110000023",2023,11,5
"110000023",2023,12,8
"110000023",2024,1,6
"110000023",2024,2,7
"110000023",2024,3,4
"110000023",2024,4,9
"110000023",2024,5,7
"110000023",2024,6,9
"110000023",2024,7,15
"110000023",2024,8,8
"110000023",2024,9,6
"110000023",2024,10,7
"110000023",2024,11,8
"110000023",2024,12,3
"110000023",2025,1,11
"110000023",2025,2,17
"110000023",2025,3,11
"110000023",2025,4,17
"110000023",2025,5,10
"110000023",2025,6,13
"110000056",2021,1,6
"110000056",2021,2,2
"110000056",2021,4,1
"110000056",2021,6,10
"110000056",2021,7,6
"110000056",2021,10,6
"110000056",2021,11,9
"110000056",2021,12,5
"110000056",2022,2,1
"110000056",2022,3,3
"110000056",2022,4,9
"110000056",2022,5,11
"110000056",2022,6,5
"110000056",2022,7,3
"110000056",2022,8,4
"110000056",2022,9,2
"110000056",2022,10,5
"110000056",2022,11,6
"110000056",2022,12,2
"110000056",2023,1,4
"110000056",2023,2,4
"110000056",2023,3,1
