"finessGeoDP","annee","duree_cat","LOS_nb","LOS_pct"
"170000095",2021,"(0,3]",41,68.3
"170000095",2021,"(3,6]",19,31.7
"170000095",2022,"(0,3]",50,86.2
"170000095",2022,"(3,6]",8,13.8
"170000095",2023,"(0,3]",44,88
"170000095",2023,"(3,6]",6,12
"170000095",2024,"(0,3]",40,93
"170000095",2024,"(3,6]",3,7
"170000152",2021,"(0,3]",94,60.6
"170000152",2021,"(3,6]",52,33.5
"170000152",2021,"(6,225]",9,5.8
"170000152",2022,"(0,3]",83,65.4
"170000152",2022,"(3,6]",33,26
"170000152",2022,"(6,225]",11,8.7
"170000152",2023,"(0,3]",56,60.9
"170000152",2023,"(3,6]",29,31.5
"170000152",2023,"(6,225]",7,7.6
"170000152",2024,"(0,3]",78,65
"170000152",2024,"(3,6]",36,30
"170000152",2024,"(6,225]",6,5
"170000152",2025,"(0,3]",32,69.6
"170000152",2025,"(3,6]",11,23.9
"170000152",2025,"(6,225]",3,6.5
"170780563",2021,"(0,3]",12,23.5
"170780563",2021,"(3,6]",37,72.5
"170780563",2021,"(6,225]",2,3.9
"170780563",2022,"(0,3]",27,58.7
"170780563",2022,"(3,6]",18,39.1
"170780563",2022,"(6,225]",1,2.2
"170780563",2023,"(0,3]",53,81.5
"170780563",2023,"(3,6]",8,12.3
"170780563",2023,"(6,225]",4,6.2
"170780563",2024,"(0,3]",57,87.7
"170780563",2024,"(3,6]",5,7.7
"170780563",2024,"(6,225]",3,4.6
"170780563",2025,"(0,3]",24,75
"170780563",2025,"(3,6]",5,15.6
"170780563",2025,"(6,225]",3,9.4
"170780662",2021,"(0,3]",38,84.4
"170780662",2021,"(3,6]",7,15.6
"170780662",2022,"(0,3]",19,82.6
"170780662",2022,"(3,6]",4,17.4
"170780662",2023,"(0,3]",43,86
"170780662",2023,"(3,6]",6,12
"170780662",2023,"(6,225]",1,2
"170780662",2024,"(0,3]",47,88.7
"170780662",2024,"(3,6]",6,11.3
"170780662",2025,"(0,3]",15,93.8
"170780662",2025,"(3,6]",1,6.2
"180004145",2021,"(0,3]",39,46.4
"180004145",2021,"(3,6]",42,50
"180004145",2021,"(6,225]",3,3.6
"180004145",2022,"(0,3]",50,63.3
"180004145",2022,"(3,6]",26,32.9
"180004145",2022,"(6,225]",3,3.8
"180004145",2023,"(0,3]",45,71.4
"180004145",2023,"(3,6]",17,27
"180004145",2023,"(6,225]",1,1.6
"180004145",2024,"(0,3]",30,81.1
"180004145",2024,"(3,6]",6,16.2
"180004145",2024,"(6,225]",1,2.7
"180004145",2025,"(0,3]",22,78.6
"180004145",2025,"(3,6]",5,17.9
"180004145",2025,"(6,225]",1,3.6
"190013482",2021,"(0,3]",30,76.9
"190013482",2021,"(3,6]",6,15.4
"190013482",2021,"(6,225]",3,7.7
"190013482",2022,"(0,3]",21,60
"190013482",2022,"(3,6]",12,34.3
"190013482",2022,"(6,225]",2,5.7
"190013482",2023,"(0,3]",30,69.8
"190013482",2023,"(3,6]",10,23.3
"190013482",2023,"(6,225]",3,7
"190013482",2024,"(0,3]",21,51.2
"190013482",2024,"(3,6]",17,41.5
"190013482",2024,"(6,225]",3,7.3
"190013482",2025,"(0,3]",5,41.7
"190013482",2025,"(3,6]",3,25
"190013482",2025,"(6,225]",4,33.3
