"finessGeoDP","annee","baria_t","n","pct"
"110000056",2023,"BPG",4,11.4
"110000056",2023,"SLE",31,88.6
"110000056",2024,"BPG",9,22
"110000056",2024,"SLE",32,78
"110000056",2025,"BPG",3,16.7
"110000056",2025,"SLE",15,83.3
"130000409",2021,"BPG",14,38.9
"130000409",2021,"SLE",22,61.1
"130000409",2022,"ANN",1,1.8
"130000409",2022,"BPG",11,19.6
"130000409",2022,"SLE",44,78.6
"130000409",2023,"ANN",1,2
"130000409",2023,"BPG",18,36.7
"130000409",2023,"SLE",30,61.2
"130000409",2024,"BPG",16,50
"130000409",2024,"SLE",16,50
"130000409",2025,"BPG",3,12
"130000409",2025,"SLE",22,88
"130001225",2021,"BPG",26,45.6
"130001225",2021,"SLE",31,54.4
"130001225",2022,"BPG",29,39.2
"130001225",2022,"DBP",1,1.4
"130001225",2022,"SLE",44,59.5
"130001225",2023,"BPG",17,29.3
"130001225",2023,"SLE",41,70.7
"130001225",2024,"BPG",19,39.6
"130001225",2024,"SLE",29,60.4
"130001225",2025,"BPG",9,32.1
"130001225",2025,"SLE",19,67.9
"130043664",2021,"ANN",45,16
"130043664",2021,"BPG",113,40.2
"130043664",2021,"SLE",123,43.8
"130043664",2022,"ANN",30,14.4
"130043664",2022,"BPG",106,50.7
"130043664",2022,"SLE",73,34.9
"130043664",2023,"ANN",50,24.5
"130043664",2023,"BPG",95,46.6
"130043664",2023,"SLE",59,28.9
"130043664",2024,"ANN",52,23.4
"130043664",2024,"BPG",108,48.6
"130043664",2024,"SLE",62,27.9
"130043664",2025,"ANN",28,20.1
"130043664",2025,"BPG",71,51.1
"130043664",2025,"SLE",40,28.8
"130780521",2021,"BPG",22,30.1
"130780521",2021,"SLE",51,69.9
"130780521",2022,"BPG",22,43.1
"130780521",2022,"SLE",29,56.9
"130780521",2023,"BPG",34,48.6
"130780521",2023,"SLE",36,51.4
"130780521",2024,"BPG",34,34
"130780521",2024,"SLE",66,66
"130780521",2025,"BPG",17,35.4
"130780521",2025,"SLE",31,64.6
"130781479",2021,"ANN",1,0.7
"130781479",2021,"BPG",15,11
"130781479",2021,"DBP",3,2.2
"130781479",2021,"SLE",117,86
"130781479",2022,"BPG",27,18.2
"130781479",2022,"DBP",5,3.4
"130781479",2022,"SLE",116,78.4
"130781479",2023,"BPG",33,22.9
"130781479",2023,"DBP",4,2.8
"130781479",2023,"SLE",107,74.3
"130781479",2024,"BPG",36,25.4
"130781479",2024,"SLE",106,74.6
"130781479",2025,"BPG",24,30.4
"130781479",2025,"DBP",3,3.8
"130781479",2025,"SLE",52,65.8
"130782162",2021,"BPG",54,44.6
"130782162",2021,"SLE",67,55.4
"130782162",2022,"BPG",45,38.5
"130782162",2022,"SLE",72,61.5
"130782162",2023,"BPG",48,49
"130782162",2023,"SLE",50,51
"130782162",2024,"BPG",40,46.5
"130782162",2024,"SLE",46,53.5
"130782162",2025,"BPG",36,56.2
"130782162",2025,"SLE",28,43.8
"130783236",2021,"BPG",38,30.4
"130783236",2021,"SLE",87,69.6
"130783236",2022,"BPG",32,25
"130783236",2022,"SLE",96,75
"130783236",2023,"BPG",28,24.3
"130783236",2023,"SLE",87,75.7
"130783236",2024,"BPG",14,29.2
"130783236",2024,"SLE",34,70.8
"130783236",2025,"BPG",3,16.7
"130783236",2025,"SLE",15,83.3
"130783327",2021,"ANN",1,0.6
"130783327",2021,"BPG",14,8.5
"130783327",2021,"SLE",149,90.9
"130783327",2022,"BPG",15,6.5
"130783327",2022,"SLE",215,93.5
"130783327",2023,"BPG",28,12.5
"130783327",2023,"SLE",196,87.5
"130783327",2024,"BPG",37,14.9
"130783327",2024,"SLE",211,85.1
"130783327",2025,"BPG",30,20.3
"130783327",2025,"SLE",118,79.7
"130784051",2021,"ANN",4,5.3
"130784051",2021,"BPG",37,49.3
"130784051",2021,"SLE",34,45.3
"130784051",2022,"ANN",3,6.2
"130784051",2022,"BPG",34,70.8
"130784051",2022,"SLE",11,22.9
"130784051",2023,"ANN",2,3.8
"130784051",2023,"BPG",44,83
"130784051",2023,"SLE",7,13.2
"130784051",2024,"ANN",1,6.2
"130784051",2024,"BPG",11,68.8
"130784051",2024,"SLE",4,25
"130785652",2021,"BPG",69,69
"130785652",2021,"SLE",31,31
"130785652",2022,"BPG",79,83.2
"130785652",2022,"SLE",16,16.8
"130785652",2023,"BPG",86,86.9
"130785652",2023,"SLE",13,13.1
"130785652",2024,"ANN",1,1
"130785652",2024,"BPG",84,81.6
"130785652",2024,"SLE",18,17.5
"130785652",2025,"BPG",39,78
"130785652",2025,"SLE",11,22
"130786361",2021,"ANN",16,6.1
"130786361",2021,"BPG",89,34
"130786361",2021,"SLE",157,59.9
"130786361",2022,"ANN",9,3.4
"130786361",2022,"BPG",96,36.5
"130786361",2022,"SLE",158,60.1
"130786361",2023,"ANN",8,2.9
"130786361",2023,"BPG",87,31.8
"130786361",2023,"SLE",179,65.3
"130786361",2024,"ANN",5,1.9
"130786361",2024,"BPG",93,34.4
"130786361",2024,"SLE",172,63.7
"130786361",2025,"ANN",2,1.3
"130786361",2025,"BPG",63,42.3
"130786361",2025,"SLE",84,56.4
"130786742",2021,"BPG",12,29.3
"130786742",2021,"SLE",29,70.7
"130786742",2022,"BPG",14,41.2
"130786742",2022,"SLE",20,58.8
"130786742",2023,"BPG",18,39.1
"130786742",2023,"DBP",1,2.2
"130786742",2023,"SLE",27,58.7
"130786742",2024,"BPG",14,34.1
"130786742",2024,"SLE",27,65.9
"130786742",2025,"BPG",16,66.7
"130786742",2025,"SLE",8,33.3
"130810740",2021,"BPG",45,28.5
"130810740",2021,"SLE",113,71.5
"130810740",2022,"BPG",40,27.6
"130810740",2022,"SLE",105,72.4
"130810740",2023,"BPG",43,30.5
"130810740",2023,"SLE",98,69.5
"130810740",2024,"BPG",42,35
"130810740",2024,"SLE",78,65
"130810740",2025,"BPG",24,32.9
"130810740",2025,"DBP",1,1.4
"130810740",2025,"SLE",48,65.8
"140000209",2021,"BPG",95,53.7
"140000209",2021,"DBP",3,1.7
"140000209",2021,"SLE",79,44.6
"140000209",2022,"BPG",125,62.2
"140000209",2022,"DBP",2,1
"140000209",2022,"SLE",74,36.8
"140000209",2023,"BPG",122,64.6
"140000209",2023,"DBP",2,1.1
"140000209",2023,"SLE",65,34.4
"140000209",2024,"BPG",42,44.2
"140000209",2024,"DBP",2,2.1
"140000209",2024,"SLE",51,53.7
"140000209",2025,"BPG",19,39.6
"140000209",2025,"SLE",29,60.4
"140000290",2021,"ANN",1,1.9
"140000290",2021,"BPG",6,11.5
